age,gender,country,cfsc
48,2,AU,46
63,1,US,48
18,1,US,28
16,1,US,37
29,1,AU,53
36,2,US,40
54,2,CA,46
30,1,FR,51
26,1,US,49
48,2,AU,34
20,1,US,51
34,1,US,51
32,1,US,48
17,2,MP,44
53,2,US,51
46,2,GB,28
58,1,AU,29
17,1,US,44
22,2,IN,32
58,1,AU,29
44,1,US,42
40,1,IT,46
25,1,US,46
26,2,US,44
38,3,US,41
30,2,US,36
24,2,SK,25
50,1,US,39
28,1,US,40
21,2,AU,41
35,2,GB,45
18,1,MY,44
28,1,US,45
14,2,US,47
34,1,GB,34
23,2,BR,41
23,1,JM,51
22,1,PL,41
47,2,US,56
52,2,US,46
18,1,US,46
27,2,CA,46
60,1,AU,53
14,2,ID,41
37,1,US,47
15,1,AU,37
22,2,BG,37
19,1,IE,32
18,2,US,41
64,1,US,51
43,2,US,35
24,1,GB,32
24,1,CA,50
50,1,US,45
18,1,IT,45
19,2,US,34
28,1,US,37
27,1,EE,51
18,2,PH,26
22,2,EU,24
27,1,EU,28
40,1,US,48
17,2,US,38
29,2,FI,31
32,1,US,39
14,2,US,43
40,1,US,46
23,1,CA,50
17,2,US,40
44,1,IN,33
43,2,US,44
20,1,GR,40
18,2,CA,41
20,1,BR,49
14,2,PL,37
34,1,NG,34
34,2,US,30
32,1,US,49
16,2,IN,44
21,1,AU,48
19,1,BG,37
50,2,MX,41
19,2,US,49
18,2,US,31
18,1,AU,43
19,2,CA,33
51,2,AU,34
22,2,US,24
61,1,US,44
54,1,US,32
18,2,US,44
37,2,ZA,44
24,2,SG,20
32,1,US,32
23,1,US,47
33,1,US,45
37,1,US,39
26,1,NL,35
25,1,GB,43
27,1,GB,40
27,1,DE,44
35,1,CA,46
36,2,US,50
61,1,US,52
28,1,DE,37
39,1,CA,44
39,1,GB,53
51,2,US,37
43,2,US,33
23,1,US,28
25,2,AU,37
21,1,US,35
22,2,AU,30
19,1,US,49
43,2,GB,47
18,1,GB,26
27,2,IN,42
23,2,RO,47
33,1,US,41
27,1,BE,50
35,1,US,26
32,1,US,23
57,1,US,48
19,1,IL,37
30,2,US,32
26,1,US,27
41,2,PH,35
16,2,US,30
53,1,US,32
28,1,GB,19
32,1,KR,42
24,2,AU,46
23,2,PH,42
34,1,US,46
25,2,US,44
46,2,CH,27
50,2,PR,49
35,2,ES,29
18,2,US,24
33,1,GB,27
22,1,US,43
21,1,DE,33
31,2,US,40
52,2,AU,41
47,1,US,48
30,1,US,44
29,1,KW,54
32,1,US,42
69,2,US,45
19,1,BR,38
38,2,US,27
43,1,US,50
16,1,US,43
14,1,US,31
25,1,CA,45
26,1,US,50
28,1,NL,23
18,1,US,44
22,2,US,44
35,1,US,36
21,1,US,43
30,1,US,45
42,2,US,41
14,1,US,21
20,2,US,35
31,1,IE,36
32,1,TR,51
19,1,CA,35
43,2,US,45
49,2,US,33
36,2,GB,46
38,2,US,47
14,1,US,51
33,1,JP,47
30,2,CA,31
16,1,GB,36
15,2,US,40
22,1,CA,52
25,2,US,37
21,2,US,27
34,2,EG,36
42,1,US,44
23,1,AU,46
17,1,US,41
65,2,US,38
25,1,TR,47
26,1,US,41
43,2,US,36
29,1,US,36
33,2,US,43
20,2,PH,49
20,2,SG,36
22,1,US,35
16,2,US,42
22,2,MY,43
22,1,US,30
24,2,US,45
16,2,US,40
19,2,SG,48
25,1,IN,44
24,1,PL,41
41,1,GB,47
33,1,US,41
27,1,PL,38
36,2,US,45
51,1,US,49
33,2,US,48
44,1,US,46
16,1,SE,48
20,1,US,44
20,2,IN,39
26,2,PL,35
19,1,US,24
26,2,US,49
37,2,PT,27
52,1,US,45
32,1,US,39
34,1,GR,45
24,1,SG,27
22,2,CA,38
23,1,US,39
21,2,US,31
21,2,EU,45
15,2,US,33
19,1,ZA,38
22,2,US,42
24,2,US,42
14,2,US,54
23,1,AU,47
27,2,US,52
40,1,US,26
42,2,BR,49
20,1,PT,47
24,1,PH,49
23,2,US,17
24,2,US,39
31,2,AU,42
28,1,US,39
28,2,US,40
16,1,US,38
17,1,GB,35
16,2,US,47
18,1,US,45
51,1,US,29
28,1,US,48
27,2,CA,50
41,1,US,50
60,1,US,44
52,1,US,43
26,2,US,47
26,2,CZ,27
41,1,FI,39
40,1,TR,42
35,2,GB,51
33,1,FR,36
59,1,US,47
21,2,LK,33
27,1,CA,31
20,2,TH,38
24,1,PL,42
22,2,CA,54
21,2,US,39
21,2,NZ,47
22,2,US,23
22,1,CA,37
15,2,US,33
31,1,US,37
28,2,US,49
27,1,GB,24
27,2,US,28
21,1,US,22
27,1,IR,35
16,1,US,45
13,1,US,49
16,1,US,26
59,2,GB,49
20,1,US,47
22,2,CA,46
32,1,US,33
21,1,US,52
19,2,US,23
22,1,US,39
30,2,US,27
27,2,US,47
37,2,US,25
19,2,US,50
30,2,AU,47
13,1,US,52
19,1,NO,52
19,2,US,24
20,2,RO,46
39,2,US,34
17,1,US,48
55,1,US,33
34,2,US,32
22,2,US,47
25,1,US,52
21,1,US,46
32,2,CA,36
18,1,US,47
20,1,MY,40
36,2,GB,39
27,1,US,49
33,2,US,35
51,2,US,52
26,1,US,45
16,1,US,27
30,1,US,41
27,1,AU,48
21,2,US,36
14,1,US,46
17,2,US,45
24,2,US,49
18,3,US,56
16,1,BR,25
16,2,US,45
28,1,MY,26
22,2,MX,36
21,1,GB,43
29,2,US,46
24,2,US,41
28,1,GB,47
23,1,US,30
25,1,GB,40
35,2,US,44
32,1,US,50
17,2,CA,39
30,2,US,38
55,1,CA,48
14,1,US,31
16,1,US,40
26,1,US,45
23,1,PK,38
18,2,US,44
18,1,MY,45
40,2,US,45
22,2,MY,43
60,1,US,46
13,2,US,25
26,1,US,52
18,1,SI,51
36,1,US,33
15,2,PR,41
17,2,US,34
16,2,US,32
49,1,US,56
